
id,workoutType,reps,duration,sessionEnded,postureScores,timestamp
0,pushup,19,114.0,True,,2025-12-12T00:33:05.171420
1,pushup,19,135.0,True,,2025-12-12T00:33:26.386446
2,pushup,11,0.0,True,,2025-12-12T00:58:25.485187
3,pushup,0,1.0,True,,2025-12-12T13:40:54.078378
4,general,15,11.0,True,,2025-12-12T20:15:49.470630
5,pushup,15,25.0,True,,2025-12-12T20:18:45.784612
6,pushup,16,0.0,True,,2025-12-12T20:42:20.556560
7,pushup,15,18.0,True,,2025-12-12T21:05:39.098328
8,pushup,15,11.0,True,,2025-12-12T21:09:39.646017
9,pushup,16,23.0,True,,2025-12-12T21:14:44.209962
10,bicep_curl,15,45.0,True,,2025-12-12T21:16:08.259288
11,bicep_curl,15,11.0,True,,2025-12-12T21:16:26.675553
12,bicep_curl,15,61.0,True,,2025-12-15T00:04:29.843828
13,bicep_curl,15,84.0,True,,2025-12-15T00:06:34.907242
14,general,15,64.0,True,,2025-12-15T00:11:57.727636
15,pushup,15,225.0,True,,2025-12-15T03:12:51.556550
16,bicep_curl,15,46.0,True,,2025-12-15T03:16:52.083091
17,bicep_curl,15,39.0,True,,2025-12-15T03:17:41.150084
18,bicep_curl,15,24.0,True,,2025-12-15T20:46:30.744946
